price,years,mileages,repair_histories,G,Z,Base
99.9,2017,26000.0,0,0,0,1
394.8,2021,17000.0,0,0,1,0
372.0,2021,6000.0,0,0,1,0
463.5,2022,11000.0,0,0,1,0
404.8,2022,19000.0,0,0,1,0
131.0,2017,30000.0,0,0,0,1
119.4,2018,50000.0,0,0,0,1
114.9,2018,44000.0,0,0,0,1
349.2,2021,41000.0,0,0,1,0
443.0,2021,20000.0,0,0,1,0
370.1,2021,42000.0,0,0,1,0
657.6,2024,19.0,0,0,1,0
127.1,2016,41000.0,0,0,0,1
471.8,2021,21000.0,0,0,1,0
91.8,2017,32000.0,0,0,0,1
416.9,2021,20000.0,0,0,1,0
107.1,2019,50000.0,0,0,0,1
348.0,2021,2000.0,0,0,1,0
112.7,2016,51000.0,0,0,0,1
374.4,2021,27000.0,0,0,1,0
125.1,2016,13000.0,0,0,0,1
83.8,2016,26000.0,0,0,0,1
99.8,2017,27000.0,0,0,0,1
111.8,2019,53000.0,0,0,0,1
94.8,2016,43000.0,0,0,0,1
290.8,2020,40000.0,0,0,1,0
85.8,2018,48000.0,0,0,0,1
146.7,2018,25000.0,0,0,0,1
358.0,2021,23000.0,0,0,1,0
97.0,2015,27000.0,0,0,0,1
111.1,2017,44000.0,0,0,0,1
118.0,2019,20000.0,0,0,0,1
140.1,2019,38000.0,0,0,0,1
118.3,2017,20000.0,0,0,0,1
88.5,2016,18000.0,0,0,0,1
80.8,2016,66000.0,0,0,0,1
77.5,2016,72000.0,0,0,0,1
378.0,2020,25000.0,0,0,1,0
69.4,2016,76000.0,0,0,0,1
328.0,2022,25000.0,0,0,1,0
95.6,2017,39000.0,0,0,0,1
120.8,2017,11000.0,0,0,0,1
115.8,2017,33000.0,0,0,0,1
415.5,2021,8000.0,0,0,1,0
107.7,2015,45000.0,0,0,0,1
116.7,2016,14000.0,0,0,0,1
80.0,2017,48000.0,0,0,0,1
158.8,2019,49000.0,0,0,0,1
110.4,2018,59000.0,0,0,0,1
104.8,2016,65000.0,0,0,0,1
389.0,2021,25000.0,0,0,1,0
110.0,2017,29000.0,0,0,0,1
79.0,2016,102000.0,0,0,0,1
389.3,2021,27000.0,0,0,1,0
493.9,2022,2000.0,0,0,1,0
369.8,2022,31000.0,0,0,1,0
133.0,2016,26000.0,0,0,0,1
357.9,2021,35000.0,0,0,1,0
115.0,2016,34000.0,0,0,0,1
511.3,2021,5000.0,0,0,1,0
350.0,2021,32000.0,0,0,1,0
368.0,2021,15000.0,0,0,1,0
126.6,2019,46000.0,1,0,0,1
138.0,2018,23000.0,0,0,0,1
98.0,2015,45000.0,0,0,0,1
136.7,2017,6000.0,0,0,0,1
135.0,2017,18000.0,0,0,0,1
119.8,2019,31000.0,0,0,0,1
139.8,2017,23000.0,0,0,0,1
471.3,2020,4000.0,0,0,1,0
222.0,2018,17000.0,0,0,0,1
119.0,2018,80000.0,0,0,0,1
135.0,2019,62000.0,0,0,0,1
120.0,2017,13000.0,0,0,0,1
159.9,2019,14000.0,0,0,0,1
144.5,2019,37000.0,0,0,0,1
117.8,2016,28000.0,0,0,0,1
110.0,2016,46000.0,0,0,0,1
111.3,2016,9000.0,0,0,0,1
140.4,2017,32000.0,0,0,0,1
375.0,2021,38000.0,0,0,1,0
